6
0 0.000000000000e+00
1.1821688459842368 -1.8490979280971458 -4.833623327836452
-0.8815867585133483 1.6719337976732345 4.4713227659682575
1.8708140750011661 -2.145277010370195 -1.25021064637836
-1.9686422300306272 -0.2542435271512985 -4.562335189062456
-3.2077483165288343 0.37128651198624746 6.767320553245145
-1.4658622620329131 4.840536890893614 4.796382494935675
6
1 3.000000000000e-02
1.1821688514786155 -1.849097930669441 -4.833623334452383
-0.8815867610187471 1.6719337994601595 4.471322777134649
1.870814108304755 -2.1452770256127254 -1.2502105000544088
-1.9686423802751933 -0.2542434513145101 -4.56233518302856
-3.2077483200418353 0.37128651207355284 6.767320569477892
-1.4658622696878159 4.840536940697346 4.796382513439873
6
2 6.000000000000e-02
1.1821688678861628 -1.8490979383492878 -4.833623354205691
-0.881586768520204 1.6719338047935335 4.471322810554456
1.8708142081769699 -2.1452770713195313 -1.2502100612157812
-1.9686428308671615 -0.2542432238778442 -4.562335164923095
-3.2077483305940655 0.3712865123152488 6.7673206181647965
-1.4658622926477993 4.8405370901179925 4.796382568918452
6
3 9.000000000000e-02
1.182168894986725 -1.849097951032374 -4.833623386797798
-0.881586780975578 1.6719338135934214 4.471322865995241
1.870814374505373 -2.1452771474150234 -1.2502093302449575
-1.968643581394572 -0.25424284505087136 -4.562335134740389
-3.2077483482195412 0.37128651265162005 6.767320699275622
-1.4658623308998247 4.840537339193345 4.796382661271259
6
4 1.200000000000e-01
1.182168932421633 -1.8490979685491902 -4.8336234317468225
-0.8815867983157049 1.6719338257303764 4.471322943080949
1.8708146071147862 -2.145277253791487 -1.2502083077217059
-1.9686446312375943 -0.2542423151463414 -4.562335092459656
-3.207748372973064 0.371286512983078 6.767320812768794
-1.465862384422349 4.8405376879857664 4.796382790333885
6
5 1.500000000000e-01
1.1821689796967225 -1.84909799066012 -4.8336234883800255
-0.8815868204487444 1.671933841030355 4.471323041305134
1.870814905781844 -2.1452773902958544 -1.2502069943610987
